# Magnetic Flux Density [T], Magnetic Field Strength [A/m]
0.0, 0.0
0.01, 27.0
0.025, 58.0
0.05, 100.0
0.1, 153.0
0.15, 185.0
0.2, 205.0
0.3, 233.0
0.4, 255.0
0.5, 285.0
0.6, 320.0
0.7, 355.0
0.8, 405.0
0.9, 470.0
1, 555.0
1.1, 673.0
1.2, 836.0
1.3, 1065.0
1.35, 1220.0
1.4, 1420.0
1.45, 1720.0
1.5, 2130.0
1.55, 2670.0
1.6, 3480.0
1.65, 4500.0
1.7, 5950.0
1.75, 7650.0
1.8, 10100.0
1.85, 13000.0
1.9, 15900.0
1.95, 21100.0
2, 26300.0
2.05, 32900.0
2.1, 42700.0
2.15, 61700.0
2.2, 84300.0
2.25, 110000.0
2.3, 135000.0
