# xshift [um], ncells, capacitance [F]
0.0, 27539, 8.275312581895284e-15
0.0, 32255, 6.54256828331992e-15
0.0, 33977, 6.2853660283776355e-15
0.0, 36132, 6.168213836076048e-15
0.0, 39994, 5.993929438574516e-15
0.0, 51979, 5.544485788440648e-15
0.0, 62266, 5.381711517895014e-15
0.0, 75879, 5.269329554484857e-15
0.0, 96138, 5.193767646011654e-15
0.0, 109861, 5.150874100239163e-15
0.5, 27432, 7.930239011155047e-15
0.5, 31720, 6.3107783328711625e-15
0.5, 33120, 6.070483195054793e-15
0.5, 35451, 5.93139196373279e-15
0.5, 37916, 5.830762625751703e-15
0.5, 49918, 5.3685079103336256e-15
0.5, 60764, 5.1476451634558135e-15
0.5, 73040, 5.060084576373348e-15
0.5, 93103, 4.968381320391079e-15
0.5, 135404, 4.8437709525237026e-15
1.0, 27393, 7.842154410246481e-15
1.0, 32033, 5.9330064075540054e-15
1.0, 32468, 5.798854257352126e-15
1.0, 35575, 5.624894007623777e-15
1.0, 38304, 5.489751651745329e-15
1.0, 48035, 5.1091283058239634e-15
1.0, 56948, 4.932350862733343e-15
1.0, 71271, 4.834998031429597e-15
1.0, 91338, 4.738396426047143e-15
1.0, 117520, 4.662116676693052e-15
1.5, 27578, 7.42159220829814e-15
1.5, 31641, 5.929362228142764e-15
1.5, 33205, 5.612923163526814e-15
1.5, 35573, 5.497503679645415e-15
1.5, 39303, 5.2954874614576415e-15
1.5, 48916, 4.9535235729500134e-15
1.5, 59637, 4.767313026174197e-15
1.5, 74625, 4.6670848304082844e-15
1.5, 96417, 4.5709070766214055e-15
1.5, 130798, 4.483766238793194e-15
2.0, 27574, 7.241398217796992e-15
2.0, 31931, 5.568712522218708e-15
2.0, 33428, 5.299736332559184e-15
2.0, 36011, 5.210490890773324e-15
2.0, 39061, 5.016097288834436e-15
2.0, 47140, 4.7400902327496205e-15
2.0, 60323, 4.5505948525730406e-15
2.0, 72466, 4.452940393510654e-15
2.0, 87492, 4.398321364280943e-15
2.0, 121275, 4.324797610813003e-15
2.5, 27451, 6.787177672764643e-15
2.5, 31096, 5.4923149566094666e-15
2.5, 33716, 5.079081765431345e-15
2.5, 37346, 4.939134199179231e-15
2.5, 41440, 4.73870887831119e-15
2.5, 47563, 4.538666546984843e-15
2.5, 64787, 4.328835221928584e-15
2.5, 74684, 4.276453325701313e-15
2.5, 99282, 4.2103945748162815e-15
2.5, 124475, 4.152569201380425e-15
3.0, 27763, 6.195546962575443e-15
3.0, 31011, 5.1891331366060634e-15
3.0, 33604, 4.8246780417958865e-15
3.0, 35573, 4.76971699261145e-15
3.0, 38845, 4.655611276380446e-15
