# Dofs, Capacitance [fF]
5.772000000000000000e+03, 8.275312581895285943e-15
5.780000000000000000e+03, 8.035659245787839567e-15
5.816000000000000000e+03, 7.417249536275123112e-15
5.875000000000000000e+03, 6.959182860760459436e-15
5.928000000000000000e+03, 6.698404963265167109e-15
6.027000000000000000e+03, 6.488357784145034906e-15
6.034000000000000000e+03, 6.479821302441603595e-15
6.122000000000000000e+03, 6.375084588690964419e-15
6.370000000000000000e+03, 6.161824132332305579e-15
6.530000000000000000e+03, 6.028268605113531177e-15
6.810000000000000000e+03, 5.893897785360506464e-15
6.895000000000000000e+03, 5.870036299614670737e-15
7.492000000000000000e+03, 5.714713404628244076e-15
7.612000000000000000e+03, 5.684550140670767263e-15
7.712000000000000000e+03, 5.670310934981391031e-15
8.250000000000000000e+03, 5.583940780595419225e-15
8.269000000000000000e+03, 5.582515049592742615e-15
9.999000000000000000e+03, 5.407644010577754346e-15
1.004400000000000000e+04, 5.402333196955164718e-15
1.029800000000000000e+04, 5.375198005681043953e-15
1.030700000000000000e+04, 5.374708269491244313e-15
1.046100000000000000e+04, 5.364463356937484776e-15
1.137500000000000000e+04, 5.321170434360826600e-15
1.138000000000000000e+04, 5.320703645776331421e-15
1.139500000000000000e+04, 5.319848829253208325e-15
1.148500000000000000e+04, 5.314586742935187384e-15
1.149700000000000000e+04, 5.313699171234843117e-15
1.236000000000000000e+04, 5.283715489949107251e-15
1.240100000000000000e+04, 5.281832531726422504e-15
1.527000000000000000e+04, 5.216717197336374673e-15
