# Dofs, Capacitance [fF]
5.741000000000000000e+03, 7.930239011155040905e-15
5.741000000000000000e+03, 7.930239011155040905e-15
5.779000000000000000e+03, 7.303871001171647687e-15
5.823000000000000000e+03, 6.826615880373392750e-15
5.892000000000000000e+03, 6.507567709979122572e-15
5.988000000000000000e+03, 6.311316459437603723e-15
5.993000000000000000e+03, 6.303921853118952248e-15
6.182000000000000000e+03, 6.149598241545718413e-15
6.434000000000000000e+03, 5.862474045896089236e-15
6.452000000000000000e+03, 5.845441633580862388e-15
6.711000000000000000e+03, 5.717990565596148841e-15
6.773000000000000000e+03, 5.683672275494917036e-15
7.435000000000000000e+03, 5.486899792269395166e-15
7.571000000000000000e+03, 5.459260236393477275e-15
7.891000000000000000e+03, 5.413595453162702995e-15
8.722000000000000000e+03, 5.289664826594595516e-15
8.995000000000000000e+03, 5.255905667065300009e-15
1.050800000000000000e+04, 5.168193283145165032e-15
1.059900000000000000e+04, 5.161465921889742901e-15
1.060300000000000000e+04, 5.161411856443963393e-15
1.117500000000000000e+04, 5.132808264840627411e-15
1.128000000000000000e+04, 5.129135678668244573e-15
1.143500000000000000e+04, 5.122816039964107429e-15
1.206900000000000000e+04, 5.094903448819821673e-15
1.207300000000000000e+04, 5.094903448819821673e-15
1.349400000000000000e+04, 5.042595502898403903e-15
1.352700000000000000e+04, 5.038349811350458429e-15
1.354700000000000000e+04, 5.036398822859312898e-15
1.355800000000000000e+04, 5.036117493581299862e-15
1.540500000000000000e+04, 4.987370532977214233e-15
