# Number of cells, Capacitance [F]
2.757800000000000000e+04, 7.421592208298140238e-15
3.164100000000000000e+04, 5.929362228142763635e-15
3.320500000000000000e+04, 5.612923163526814018e-15
3.557300000000000000e+04, 5.497503679645414932e-15
3.930300000000000000e+04, 5.295487461457641456e-15
4.891600000000000000e+04, 4.953523572950013418e-15
5.963700000000000000e+04, 4.767313026174197371e-15
7.462500000000000000e+04, 4.667084830408284446e-15
9.641700000000000000e+04, 4.570907076621405467e-15
1.307980000000000000e+05, 4.483766238793194051e-15
