# Polar angle [rad], E-plane far-field radiation pattern [V]
0.000000000000000000e+00, 0.000000000000000000e+00
1.755079694742901070e-02, 1.378471739879287387e-02
3.510159389485802139e-02, 2.757155409317284256e-02
5.265239084228703209e-02, 4.136261455748196231e-02
7.020318778971604279e-02, 5.515997364263356545e-02
8.775398473714504655e-02, 6.896566181244542793e-02
1.053047816845740642e-01, 8.278165043786056554e-02
1.228555786320030818e-01, 9.660983716891172191e-02
1.404063755794320856e-01, 1.104520314047543750e-01
1.579571725268610893e-01, 1.243099398825025514e-01
1.755079694742900931e-01, 1.381851524064333092e-01
1.930587664217191246e-01, 1.520791277396729979e-01
2.106095633691481284e-01, 1.659931796814206884e-01
2.281603603165771321e-01, 1.799284633535980782e-01
2.457111572640061636e-01, 1.938859617217473519e-01
2.632619542114351674e-01, 2.078664723760355326e-01
2.808127511588641712e-01, 2.218705945992409667e-01
2.983635481062931749e-01, 2.358987167496505999e-01
3.159143450537221787e-01, 2.499510039878954093e-01
3.334651420011511824e-01, 2.640273863778062613e-01
3.510159389485801862e-01, 2.781275473924395558e-01
3.685667358960092455e-01, 2.922509128574449222e-01
3.861175328434382492e-01, 3.063966403649071579e-01
4.036683297908672530e-01, 3.205636091917395403e-01
4.212191267382962567e-01, 3.347504107574768573e-01
4.387699236857252605e-01, 3.489553396571114519e-01
4.563207206331542642e-01, 3.631763853051648838e-01
4.738715175805832680e-01, 3.774112242277123386e-01
4.914223145280123273e-01, 3.916572130393706774e-01
5.089731114754413310e-01, 4.059113821424572555e-01
5.265239084228703348e-01, 4.201704301854691792e-01
5.440747053702993385e-01, 4.344307193178510440e-01
5.616255023177283423e-01, 4.486882712775627224e-01
5.791762992651573461e-01, 4.629387643473157898e-01
5.967270962125863498e-01, 4.771775312144623804e-01
6.142778931600153536e-01, 4.913995577683622495e-01
6.318286901074443573e-01, 5.055994828676682040e-01
6.493794870548733611e-01, 5.197715991083020626e-01
6.669302840023023649e-01, 5.339098546209556373e-01
6.844810809497313686e-01, 5.480078559247311132e-01
7.020318778971603724e-01, 5.620588718610498580e-01
7.195826748445894872e-01, 5.760558386291811939e-01
7.371334717920184909e-01, 5.899913659416817779e-01
7.546842687394474947e-01, 6.038577443147292723e-01
7.722350656868764984e-01, 6.176469535047169890e-01
7.897858626343055022e-01, 6.313506720986470366e-01
8.073366595817345059e-01, 6.449602882617415656e-01
8.248874565291635097e-01, 6.584669116413770507e-01
8.424382534765925135e-01, 6.718613864218833109e-01
8.599890504240215172e-01, 6.851343055200235233e-01
8.775398473714505210e-01, 6.982760259060293295e-01
8.950906443188795247e-01, 7.112766850300140664e-01
9.126414412663085285e-01, 7.241262183283800891e-01
9.301922382137375322e-01, 7.368143777795380656e-01
9.477430351611665360e-01, 7.493307514729109498e-01
9.652938321085955398e-01, 7.616647841497832250e-01
9.828446290560246545e-01, 7.738057986691725398e-01
1.000395426003453547e+00, 7.857430183465338169e-01
1.017946222950882662e+00, 7.974655901078212539e-01
1.035497019898311555e+00, 8.089626083962445646e-01
1.053047816845740670e+00, 8.202231397640331600e-01
1.070598613793169562e+00, 8.312362480766560813e-01
1.088149410740598677e+00, 8.419910202523344100e-01
1.105700207688027570e+00, 8.524765924553034946e-01
1.123251004635456685e+00, 8.626821766572208006e-01
1.140801801582885799e+00, 8.725970874773756325e-01
1.158352598530314692e+00, 8.822107692089968811e-01
1.175903395477743807e+00, 8.915128229359855494e-01
1.193454192425172700e+00, 9.004930336418671688e-01
1.211004989372601814e+00, 9.091413972106976438e-01
1.228555786320030707e+00, 9.174481472180602282e-01
1.246106583267459822e+00, 9.254037814092345160e-01
1.263657380214888715e+00, 9.329990877610591093e-01
1.281208177162317829e+00, 9.402251700240310539e-01
1.298758974109746722e+00, 9.470734726417282534e-01
1.316309771057175837e+00, 9.535358049457862695e-01
1.333860568004604730e+00, 9.596043645263443445e-01
1.351411364952033844e+00, 9.652717596801598798e-01
1.368962161899462737e+00, 9.705310308414106801e-01
1.386512958846891852e+00, 9.753756709036127681e-01
1.404063755794320745e+00, 9.797996443450067705e-01
1.421614552741749860e+00, 9.837974050742428478e-01
