# Azimuthal angle [rad], H-plane far-field radiation pattern [V]
0.000000000000000000e+00, 1.000000000000000000e+00
1.750190893364787087e-02, 1.000000000000000000e+00
3.500381786729574174e-02, 1.000000000000000000e+00
5.250572680094361261e-02, 1.000000000000000000e+00
7.000763573459148348e-02, 1.000000000000000000e+00
8.750954466823934741e-02, 1.000000000000000000e+00
1.050114536018872252e-01, 1.000000000000000000e+00
1.225133625355351030e-01, 1.000000000000000000e+00
1.400152714691829670e-01, 1.000000000000000000e+00
1.575171804028308309e-01, 1.000000000000000000e+00
1.750190893364786948e-01, 1.000000000000000000e+00
1.925209982701265865e-01, 1.000000000000000000e+00
2.100229072037744504e-01, 1.000000000000000000e+00
2.275248161374223144e-01, 1.000000000000000000e+00
2.450267250710702061e-01, 1.000000000000000000e+00
2.625286340047180422e-01, 1.000000000000000000e+00
2.800305429383659339e-01, 1.000000000000000000e+00
2.975324518720138256e-01, 1.000000000000000000e+00
3.150343608056616618e-01, 1.000000000000000000e+00
3.325362697393095535e-01, 1.000000000000000000e+00
3.500381786729573896e-01, 1.000000000000000000e+00
3.675400876066052813e-01, 1.000000000000000000e+00
3.850419965402531730e-01, 1.000000000000000000e+00
4.025439054739010092e-01, 1.000000000000000000e+00
4.200458144075489009e-01, 1.000000000000000000e+00
4.375477233411967926e-01, 1.000000000000000000e+00
4.550496322748446287e-01, 1.000000000000000000e+00
4.725515412084925204e-01, 1.000000000000000000e+00
4.900534501421404121e-01, 1.000000000000000000e+00
5.075553590757883038e-01, 1.000000000000000000e+00
5.250572680094360845e-01, 1.000000000000000000e+00
5.425591769430839761e-01, 1.000000000000000000e+00
5.600610858767318678e-01, 1.000000000000000000e+00
5.775629948103797595e-01, 1.000000000000000000e+00
5.950649037440276512e-01, 1.000000000000000000e+00
6.125668126776754319e-01, 1.000000000000000000e+00
6.300687216113233236e-01, 1.000000000000000000e+00
6.475706305449712152e-01, 1.000000000000000000e+00
6.650725394786191069e-01, 1.000000000000000000e+00
6.825744484122669986e-01, 1.000000000000000000e+00
7.000763573459147793e-01, 1.000000000000000000e+00
7.175782662795626710e-01, 1.000000000000000000e+00
7.350801752132105626e-01, 1.000000000000000000e+00
7.525820841468584543e-01, 1.000000000000000000e+00
7.700839930805063460e-01, 1.000000000000000000e+00
7.875859020141542377e-01, 1.000000000000000000e+00
8.050878109478020184e-01, 1.000000000000000000e+00
8.225897198814499101e-01, 1.000000000000000000e+00
8.400916288150978017e-01, 1.000000000000000000e+00
8.575935377487456934e-01, 1.000000000000000000e+00
8.750954466823935851e-01, 1.000000000000000000e+00
8.925973556160413658e-01, 1.000000000000000000e+00
9.100992645496892575e-01, 1.000000000000000000e+00
9.276011734833371492e-01, 1.000000000000000000e+00
9.451030824169850408e-01, 1.000000000000000000e+00
9.626049913506329325e-01, 1.000000000000000000e+00
9.801069002842808242e-01, 1.000000000000000000e+00
9.976088092179286049e-01, 1.000000000000000000e+00
1.015110718151576608e+00, 1.000000000000000000e+00
1.032612627085224277e+00, 1.000000000000000000e+00
1.050114536018872169e+00, 1.000000000000000000e+00
